Document,Sentiment_Score,Unique_Words,Total_Words,Sentences
P1,0.1756,64,86,10
P2,-0.296,2,2,1
P3,0.9873,85,148,16
P4,0.3612,78,118,15
P5,0.8829,150,240,24
P6,0.7732,81,122,13
P7,0.6597,117,184,14
P8,0.8316,41,75,8
P9,0.8126,55,111,22
P10,0.698,52,87,13
P11,0.924,108,155,12
P12,0.9517,73,117,13
P13,0.8807,78,105,11
P14,-0.9442,60,110,15
P15,-0.296,2,2,1
P16,0.9636,81,153,21
P17,0.9188,157,308,38
P18,-0.296,2,2,1
P19,-0.296,2,2,1
P20,-0.5106,50,87,13
P21,-0.899,70,134,16
P22,-0.296,2,2,1
P23,-0.8873,115,210,27
P24,0.9485,180,298,32
P25,-0.296,2,2,1
P26,0.7717,47,93,11
P27,-0.296,2,2,1
P28,0.9923,92,140,13
P29,0.9947,97,186,27
P30,0.9938,100,170,21
P31,0.9946,90,157,17
P32,-0.296,2,2,1
P33,0.9473,75,155,23
P34,0.9607,82,148,17
P35,-0.296,2,2,1
P36,-0.9976,88,175,19
P37,-0.296,2,2,1
P38,0.794,91,155,24
P39,-0.296,2,2,1
P40,-0.9867,111,212,24
