Document,Sentiment_Score,Unique_Words,Total_Words,Sentences
P1,0.3067,81,135,13
P2,0.9186,80,166,18
P3,0.9179,55,123,11
P4,0.8608,76,144,11
P5,0.4588,88,156,20
P6,0.982,96,165,19
P7,0.9558,84,129,10
P8,0.8481,40,69,7
P9,-0.0772,33,82,14
P10,0.3818,41,96,18
P11,0.9863,94,184,21
P12,0.873,93,206,19
P13,0.8607,89,142,16
P14,-0.743,63,136,15
P15,0.9228,74,136,15
P16,0.6369,65,146,21
P17,0.25,65,120,16
P18,0.8593,79,174,10
P19,0.1531,61,90,7
P20,-0.9468,34,75,7
P21,-0.4559,35,59,4
P22,0.9066,79,108,8
P23,-0.8573,109,170,18
P24,0.8316,109,168,17
P25,0.6369,49,78,8
P26,-0.8971,59,107,12
P27,0.9578,61,100,10
P28,0.9923,67,166,19
P29,0.9944,68,153,17
P30,0.9908,91,168,15
P31,0.9931,69,144,17
P32,-0.6908,91,192,11
P33,0.6473,66,151,17
P34,0.25,53,113,14
P35,-0.8594,62,114,15
P36,-0.9953,47,116,9
P37,0.9719,104,201,16
P38,-0.4537,68,125,16
P39,-0.825,93,144,17
P40,-0.7697,68,141,17
