Document,Sentiment_Score,Unique_Words,Total_Words,Sentences
P1,0.34,20,32,3
P2,0.8164,57,92,9
P3,0.7414,40,65,7
P4,0.765,58,89,10
P5,0.2263,69,104,12
P6,0.9721,51,75,8
P7,0.9081,56,64,5
P8,0.3612,35,62,8
P9,-0.3612,26,41,6
P10,0.1901,39,73,12
P11,0.9034,60,81,5
P12,0.7717,57,83,7
P13,0.7028,44,57,6
P14,-0.9118,44,78,7
P15,0.0,41,81,8
P16,0.6808,34,62,5
P17,0.9721,72,116,11
P18,0.923,68,107,6
P19,0.3818,33,38,2
P20,-0.5106,24,28,3
P21,-0.7913,50,76,7
P22,0.9124,55,66,6
P23,-0.8074,37,50,4
P24,0.3818,49,61,5
P25,-0.1416,29,37,5
P26,-0.2042,21,35,5
P27,0.9325,27,37,5
P28,0.9052,33,44,5
P29,0.8555,26,31,4
P30,0.9451,33,40,4
P31,0.9595,26,37,4
P32,-0.8188,69,107,9
P33,0.8922,52,93,14
P34,0.4417,57,101,14
P35,0.012,57,103,6
P36,-0.9957,50,88,6
P37,0.9741,84,121,8
P38,-0.0772,115,167,12
P39,0.4949,90,133,12
P40,-0.6249,31,40,4
